0.1.1	Титульный лист первого издания «Манифеста Коммунистической партии»
2.31.1	С того момента, когда нельзя будет более превращать труд в капитал, в деньги, в земельную ренту, короче – в общественную силу, которую можно монополизировать, т. е. с того момента, когда личная собственность не сможет более превращаться в буржуазную собственность, – с этого момента, заявляете вы, личность уничтожена.
2.32.1	Вы сознаетесь, следовательно, что личностью вы не признаете никого, кроме буржуа, т. е. буржуазного собственника.
2.32.2	Такая личность действительно должна быть уничтожена.
2.33.1	Коммунизм ни у кого не отнимает возможности присвоения общественных продуктов, он отнимает лишь возможность посредством этого присвоения порабощать чужой труд.
2.34.1	Выдвигали возражение, будто с уничтожением частной собственности прекратится всякая деятельность и воцарится всеобщая леность.
2.35.1	В таком случае буржуазное общество должно было бы давно погибнуть от лености, ибо здесь тот, кто трудится, ничего не приобретает, а тот, кто приобретает, не трудится.
2.35.2	Все эти опасения сводятся к тавтологии, что нет больше наемного труда, раз не существует больше капитала.
2.36.1	Все возражения, направленные против коммунистического способа присвоения и производства материальных продуктов, распространяются также на присвоение и производство продуктов умственного труда.
2.36.2	Подобно тому как уничтожение классовой собственности представляется буржуа уничтожением самого производства, так и уничтожение классового образования для него равносильно уничтожению образования вообще.
2.37.1	Образование, гибель которого он оплакивает, является для громадного большинства превращением в придаток машины.
2.38.1	Страница черновика «Манифеста Коммунистической партии»
2.39.1	(весь текст написан рукой Маркса, первые две строчки рукой Женни Маркс)
2.40.1	Но не спорьте с нами, оценивая при этом отмену буржуазной собственности с точки зрения ваших буржуазных представлений о свободе, образовании, праве и т. д.
2.40.2	Ваши идеи сами являются продуктом буржуазных производственных отношений и буржуазных отношений собственности, точно так же как ваше право есть лишь возведенная в закон воля вашего класса, воля, содержание которой определяется материальными условиями жизни вашего класса.
2.41.1	Ваше пристрастное представление, заставляющее вас превращать свои производственные отношения и отношения собственности из отношений исторических, преходящих в процессе развития производства, в вечные законы природы и разума, вы разделяете со всеми господствовавшими прежде и погибшими классами.
2.41.2	Когда заходит речь о буржуазной собственности, вы не смеете более понять того, что кажется вам понятным в отношении собственности античной или феодальной.
2.42.1	Уничтожение семьи!
2.42.2	Даже самые крайние радикалы возмущаются этим гнусным намерением коммунистов.
2.43.1	На чем основана современная, буржуазная семья?
2.43.2	На капитале, на частной наживе.
2.43.3	В совершенно развитом виде она существует только для буржуазии; но она находит свое дополнение в вынужденной бессемейности пролетариев и в публичной проституции.
2.44.1	Буржуазная семья естественно отпадает вместе с отпадением этого ее дополнения, и обе вместе исчезнут с исчезновением капитала.
2.45.1	Или вы упрекаете нас в том, что мы хотим прекратить эксплуатацию детей их родителями?
2.45.2	Мы сознаемся в этом преступлении.
2.46.1	Но вы утверждаете, что, заменяя домашнее воспитание общественным, мы хотим уничтожить самые дорогие для человека отношения.
2.47.1	А разве ваше воспитание не определяется обществом?
2.47.2	Разве оно не определяется общественными отношениями, в которых вы воспитываете, не определяется прямым или косвенным вмешательством общества через школу и т. д.?
2.47.3	Коммунисты не выдумывают влияния общества на воспитание; они лишь изменяют характер воспитания, вырывают его из-под влияния господствующего класса.
2.48.1	Буржуазные разглагольствования о семье и воспитании, о нежных отношениях между родителями и детьми внушают тем более отвращения, чем более разрушаются все семейные связи в среде пролетариата благодаря развитию крупной промышленности, чем более дети превращаются в простые предметы торговли и рабочие инструменты.
2.49.1	Но вы, коммунисты, хотите ввести общность жен, – кричит нам хором вся буржуазия.
2.50.1	Буржуа смотрит на свою жену как на простое орудие производства.
2.50.2	Он слышит, что орудия производства предполагается предоставить в общее пользование, и, конечно, не может отрешиться от мысли, что и женщин постигнет та же участь.
2.51.1	Он даже и не подозревает, что речь идет как раз об устранении такого положения женщины, когда она является простым орудием производства.
2.52.1	Впрочем, нет ничего смешнее высокоморального ужаса наших буржуа по поводу мнимой официальной общности жен у коммунистов.
2.52.2	Коммунистам нет надобности вводить общность жен, она существовала почти всегда.
2.53.1	Наши буржуа, не довольствуясь тем, что в их распоряжении находятся жены и дочери их рабочих, не говоря уже об официальной проституции, видят особое наслаждение в том, чтобы соблазнять жен друг у друга.
2.54.1	Буржуазный брак является в действительности общностью жен.
2.54.2	Коммунистам можно было бы сделать упрек разве лишь в том, будто они хотят ввести вместо лицемерно-прикрытой общности жен официальную, открытую.
2.54.3	Но ведь само собой разумеется, что с уничтожением нынешних производственных отношений исчезнет и вытекающая из них общность жен, т. е. официальная и неофициальная проституция.
2.55.1	Далее, коммунистов упрекают, будто они хотят отменить отечество, национальность.
2.56.1	Рабочие не имеют отечества.
2.56.2	У них нельзя отнять то, чего у них нет.
2.56.3	Так как пролетариат должен прежде всего завоевать политическое господство, подняться до положения национального класса, конституироваться как нация, он сам пока еще национален, хотя совсем не в том смысле, как понимает это буржуазия.
2.57.1	Национальная обособленность и противоположности народов все более и более исчезают уже с развитием буржуазии, со свободой торговли, всемирным рынком, с единообразием промышленного производства и соответствующих ему условий жизни.
2.58.1	Господство пролетариата еще более ускорит их исчезновение.
2.58.2	Соединение усилий, по крайней мере цивилизованных стран, есть одно из первых условий освобождения пролетариата.
2.59.1	В той же мере, в какой будет уничтожена эксплуатация одного индивидуума другим, уничтожена будет и эксплуатация одной нации другой.
2.60.1	Вместе с антагонизмом классов внутри наций падут и враждебные отношения наций между собой.
2.61.1	Обвинения против коммунизма, выдвигаемые с религиозных, философских и вообще идеологических точек зрения, не заслуживают подробного рассмотрения.
2.62.1	Нужно ли особое глубокомыслие, чтобы понять, что вместо с условиями жизни людей, с их общественными отношениями, с их общественным бытием изменяются также и их представления, взгляды и понятия, – одним словом, их сознание?
2.63.1	Что же доказывает история идей, как не то, что духовное производство преобразуется вместе с материальным?
2.63.2	Господствующими идеями любого времени были всегда лишь идеи господствующего класса.
2.64.1	Говорят об идеях, революционизирующих все общество; этим выражают лишь тот факт, что внутри старого общества образовались элементы нового, что рука об руку с разложением старых условий жизни идет и разложение старых идей.
2.65.1	Когда древний мир клонился к гибели, древние религии были побеждены христианской религией.
2.65.2	Когда христианские идеи в XVIII веке гибли под ударом просветительных идей, феодальное общество вело свой смертный бой с революционной в то время буржуазией.
2.65.3	Идеи свободы совести и религии выражали в области знания лишь господство свободной конкуренции.
2.66.1	«Но», скажут нам, «религиозные, моральные, философские, политические, правовые идеи и т. д., конечно, изменялись в ходе исторического развития.
2.66.2	Религия же, нравственность, философия, политика, право всегда сохранялись в этом беспрерывном изменении.
2.67.1	К тому же существуют вечные истины, как свобода, справедливость и т. д., общие всем стадиям общественного развития.
2.67.2	Коммунизм же отменяет вечные истины, он отменяет религию, нравственность, вместо того чтобы обновить их; следовательно, он противоречит всему предшествовавшему ходу исторического развития».
2.68.1	К чему сводится это обвинение?
2.68.2	История всех доныне существовавших обществ двигалась в классовых противоположностях, которые в разные эпохи складывались различно.
2.69.1	Но какие бы формы они ни принимали, эксплуатация одной части общества другою является фактом, общим всем минувшим столетиям.
2.69.2	Неудивительно поэтому, что общественное сознание всех веков, несмотря на все разнообразие и все различия, движется в определенных общих формах, в формах сознания, которые вполне исчезнут лишь с окончательным исчезновением противоположности классов.
2.70.1	Коммунистическая революция есть самый решительный разрыв с унаследованными от прошлого отношениями собственности; неудивительно, что в ходе своего развития она самым решительным образом порывает с идеями, унаследованными от прошлого.
2.71.1	Оставим, однако, возражения буржуазии против коммунизма.
2.71.2	Мы видели уже выше, что первым шагом в рабочей революции является превращение пролетариата в господствующий класс, завоевание демократии.
2.72.1	Пролетариат использует свое политическое господство для того, чтобы вырвать у буржуазии шаг за шагом весь капитал, централизовать все орудия производства в руках государства, т. е. пролетариата, организованного как господствующий класс, и возможно более быстро увеличить сумму производительных сил.
2.73.1	Это может, конечно, произойти сначала лишь при помощи деспотического вмешательства в право собственности и в буржуазные производственные отношения, т. е. при помощи мероприятий, которые экономически кажутся недостаточными и несостоятельными, но которые в ходе движения перерастают самих себя и неизбежны как средство для переворота во всем способе производства.
2.74.1	Эти мероприятия будут, конечно, различны в различных странах.
2.75.1	Однако в наиболее передовых странах могут быть почти повсеместно применены следующие меры:
2.76.1	1. Экспроприация земельной собственности и обращение земельной ренты на покрытие государственных расходов.
2.77.1	2. Высокий прогрессивный налог.
2.78.1	3. Отмена права наследования.
2.79.1	4. Конфискация имущества всех эмигрантов и мятежников.
2.80.1	5. Централизация кредита в руках государства посредством национального банка с государственным капиталом и с исключительной монополией.
2.81.1	6. Централизация всего транспорта в руках государства.
2.82.1	7. Увеличение числа государственных фабрик, орудий производства, расчистка под пашню и улучшение земель по общему плану.
2.83.1	8. Одинаковая обязательность труда для всех, учреждение промышленных армий, в особенности для земледелия.
2.84.1	9. Соединение земледелия с промышленностью, содействие постепенному устранению различия между городом и деревней.
2.85.1	10. Общественное и бесплатное воспитание всех детей.
2.85.2	Устранение фабричного труда детей в современной его форме.
2.85.3	Соединение воспитания с материальным производством и т. д.
2.86.1	Когда в ходе развития исчезнут классовые различия и все производство сосредоточится в руках ассоциации индивидов, тогда публичная власть потеряет свой политический характер.
2.86.2	Политическая власть в собственном смысле слова – это организованное насилие одного класса для подавления другого.
2.86.3	Если пролетариат в борьбе против буржуазии непременно объединяется в класс, если путем революции он превращает себя в господствующий класс и в качестве господствующего класса силой упраздняет старые производственные отношения, то вместе с этими производственными отношениями он уничтожает условия существования классовой противоположности, уничтожает классы вообще, а тем самым и свое собственное господство как класса.
2.87.1	На место старого буржуазного общества с его классами и классовыми противоположностями приходит ассоциация, в которой свободное развитие каждого является условием свободного развития всех.
2.88.1	Обложка «Манифеста Коммунистической партии» издания 1848 года
2.89.1	(выпуск на 30-ти страницах)
3.1.1.1	Французская и английская аристократия по своему историческому положению была призвана к тому, чтобы писать памфлеты против современного буржуазного общества.
3.1.1.2	Во французской июльской революции 1830 г. и в английском движении в пользу парламентской реформы ненавистный выскочка еще раз нанес ей поражение.
3.1.1.3	О серьезной политической борьбе не могло быть больше и речи.
3.1.1.4	Ей оставалась только литературная борьба.
3.1.1.5	Но и в области литературы старые фразы времен Реставрации стали уже невозможны.
3.1.1.6	Чтобы возбудить сочувствие, аристократия должна была сделать вид, что она уже не заботится о своих собственных интересах и составляет свой обвинительный акт против буржуазии только в интересах эксплуатируемого рабочего класса.
3.1.1.7	Она доставляла себе удовлетворение тем, что сочиняла пасквили на своего нового властителя и шептала ему на ухо более или менее зловещие пророчества.
3.1.2.1	Так возник феодальный социализм: наполовину похоронная песнь – наполовину пасквиль, наполовину отголосок прошлого – наполовину угроза будущего, подчас поражающий буржуазию в самое сердце своим горьким, остроумным, язвительным приговором, но всегда производящий комическое впечатление полной неспособностью понять ход современной истории.
3.1.3.1	Аристократия размахивала нищенской сумой пролетариата как знаменем, чтобы повести за собою народ.
3.1.3.2	Но всякий раз, когда он следовал за нею, он замечал на ее заду старые феодальные гербы и разбегался с громким и непочтительным хохотом.
3.1.4.1	Разыгрыванием этой комедии занималась часть французских легитимистов и «Молодая Англия».
3.1.5.1	Если феодалы доказывают, что их способ эксплуатации был иного рода, чем буржуазная эксплуатация, то они забывают только, что они эксплуатировали при совершенно других, теперь уже отживших, обстоятельствах и условиях.
3.1.5.2	Если они указывают, что при их господстве не существовало современного пролетариата, то забывают, что как раз современная буржуазия была необходимым плодом их общественного строя.
3.1.6.1	Впрочем, они столь мало скрывают реакционный характер своей критики, что их главное обвинение против буржуазии именно в том и состоит, что при ее господстве развивается класс, который взорвет на воздух весь старый общественный порядок.
3.1.7.1	Они гораздо больше упрекают буржуазию в том, что она порождает революционный пролетариат, чем в том, что она порождает пролетариат вообще.
3.1.8.1	Поэтому в политической практике они принимают участие во всех насильственных мероприятиях против рабочего класса, а в обыденной жизни, вопреки всей своей напыщенной фразеологии, не упускают случая подобрать золотые яблоки и променять верность, любовь, честь на барыш от торговли овечьей шерстью, свекловицей и водкой.
3.1.9.1	Подобно тому как поп всегда шел рука об руку с феодалом, поповский социализм идет рука об руку с феодальным.
3.1.10.1	Нет ничего легче, как придать христианскому аскетизму социалистический оттенок.
3.1.10.2	Разве христианство не ратовало тоже против частной собственности, против брака, против государства?
3.1.10.3	Разве оно не проповедовало вместо этого благотворительность и нищенство, безбрачие и умерщвление плоти, монастырскую жизнь и церковь?
3.1.10.4	Христианский социализм – это лишь святая вода, которою поп кропит озлобление аристократа.
3.1.11.1	Феодальная аристократия – не единственный ниспровергнутый буржуазией класс, условия жизни которого в современном буржуазном обществе ухудшались и отмирали.
3.1.11.2	Средневековое сословие горожан и сословие мелких крестьян были предшественниками современной буржуазии.
3.1.11.3	В странах, менее развитых в промышленном и торговом отношении, класс этот до сих пор еще прозябает рядом с развивающейся буржуазией.
3.1.12.1	В тех странах, где развилась современная цивилизация, образовалась – и как дополнительная часть буржуазного общества постоянно вновь образуется – новая мелкая буржуазия, которая колеблется между пролетариатом и буржуазией.
3.1.12.2	Но конкуренция постоянно сталкивает принадлежащих к этому классу лиц в ряды пролетариата, и они начинают уже видеть приближение того момента, когда с развитием крупной промышленности они совершенно исчезнут как самостоятельная часть современного общества и в торговле, промышленности и земледелии будут замещены надзирателями и наемными служащими.
3.1.13.1	В таких странах, как Франция, где крестьянство составляет гораздо более половины всего населения, естественно было появление писателей, которые, становясь на сторону пролетариата против буржуазии, в своей критике буржуазного строя прикладывали к нему мелкобуржуазную и мелкокрестьянскую мерку и защищали дело рабочих с мелкобуржуазной точки зрения.
3.1.13.2	Так возник мелкобуржуазный социализм.
3.1.13.3	Сисмонди стоит во главе этого рода литературы не только во Франции, но и в Англии.
3.1.14.1	Этот социализм прекрасно умел подметить противоречия в современных производственных отношениях.
3.1.14.2	Он разоблачил лицемерную апологетику экономистов.
3.1.14.3	Он неопровержимо доказал разрушительное действие машинного производства и разделения труда, концентрацию капиталов и землевладения, перепроизводство, кризисы, неизбежную гибель мелких буржуа и крестьян, нищету пролетариата, анархию производства, вопиющее неравенство в распределении богатства, истребительную промышленную войну наций между собой, разложение старых нравов, старых семейных отношений и старых национальностей.
3.1.15.1	Но по своему положительному содержанию этот социализм стремится или восстановить старые средства производства и обмена, а вместе с ними старые отношения собственности и старое общество, или – вновь насильственно втиснуть современные средства производства и обмена в рамки старых отношений собственности, отношений, которые были уже ими взорваны и необходимо должны были быть взорваны.
3.1.15.2	В обоих случаях он одновременно и реакционен и утопичен.
3.1.16.1	Цеховая организация промышленности и патриархальное сельское хозяйство – вот его последнее слово.
3.1.17.1	В дальнейшем своем развитии направление это вылилось в трусливое брюзжание.
3.1.18.1	Социалистическая и коммунистическая литература Франции, возникшая под гнетом господствующей буржуазии и являющаяся литературным выражением борьбы против этого господства, была перенесена в Германию в такое время, когда буржуазия там только что начала свою борьбу против феодального абсолютизма.
3.1.19.1	Немецкие философы, полуфилософы и любители красивой фразы жадно ухватились за эту литературу, позабыв только, что с перенесением этих сочинений из Франции в Германию туда не были одновременно перенесены и французские условия жизни.
3.1.19.2	В немецких условиях французская литература утратила все непосредственное практическое значение и приняла вид чисто литературного течения.
3.1.19.3	Она должна была приобрести характер досужего мудрствования об осуществлении человеческой сущности.
3.1.19.4	Так, требования первой французской революции для немецких философов XVIII века имели смысл лишь как требования «практического разума» вообще, а проявления воли революционной французской буржуазии в их глазах имели значение законов чистой воли, воли, какой она должна быть, истинно человеческой воли.
3.1.20.1	Вся работа немецких литераторов состояла исключительно в том, чтобы примирить новые французские идеи со своей старой философской совестью или, вернее, в том, чтобы усвоить французские идеи со своей философской точки зрения.
3.1.21.1	Это усвоение произошло таким же образом, каким вообще усваивают чужой язык, путем перевода.
3.1.22.1	Известно, что на манускриптах, содержавших классические произведения языческой древности, монахи поверх текста писали нелепые жизнеописания католических святых.
3.1.22.2	Немецкие литераторы поступили с нечестивой французской литературой как раз наоборот.
3.1.22.3	Под французский оригинал они вписали свою философскую чепуху.
3.1.22.4	Например, под французскую критику денежных отношений они вписали «отчуждение человеческой сущности», под французскую критику буржуазного государства – «упразднение господства Абстрактно-Всеобщего» и т. д.
3.1.23.1	Это подсовывание под французские теории своей философской фразеологии они окрестили «философией действия», «истинным социализмом», «немецкой наукой социализма», «философским обоснованием социализма» и т. д.
3.1.24.1	Французская социалистическо-коммунистическая литература была таким образом совершенно выхолощена.
3.1.24.2	И так как в руках немца она перестала выражать борьбу одного класса против другого, то немец был убежден, что он поднялся выше «французской односторонности», что он отстаивает, вместо истинных потребностей, потребность в истине, а вместо интересов пролетариата – интересы человеческой сущности, интересы человека вообще, человека, который не принадлежит ни к какому классу и вообще существует не в действительности, а в туманных небесах философской фантазии.
3.1.25.1	Этот немецкий социализм, считавший свои беспомощные ученические упражнения столь серьезными и важными и так крикливо их рекламировавший, потерял мало-помалу свою педантическую невинность.
3.1.26.1	Борьба немецкой, особенно прусской, буржуазии против феодалов и абсолютной монархии – одним словом либеральное движение – становилась все серьезнее.
3.1.27.1	«Истинному» социализму представился, таким образом, желанный случай противопоставить политическому движению социалистические требования, предавать традиционной анафеме либерализм, представительное государство, буржуазную конкуренцию, буржуазную свободу печати, буржуазное право, буржуазную свободу и равенство и проповедовать народной массе, что в этом буржуазном движении она не может ничего выиграть, но, напротив, рискует все потерять.
3.1.27.2	Немецкий социализм весьма кстати забывал, что французская критика, жалким отголоском которой он был, предполагала современное буржуазное общество с соответствующими ему материальными условиями жизни и соответственной политической конституцией, т. е. как раз все те предпосылки, о завоевании которых в Германии только еще шла речь.
3.1.28.1	Немецким абсолютным правительствам, с их свитой попов, школьных наставников, заскорузлых юнкеров и бюрократов, он служил кстати подвернувшимся пугалом против угрожающе наступавшей буржуазии.
3.1.29.1	Он был подслащенным дополнением к горечи плетей и ружейных пуль, которыми эти правительства усмиряли восстания немецких рабочих.
3.1.30.1	Если «истинный» социализм становился таким образом оружием в руках правительств против немецкой буржуазии, то он и непосредственно служил выражением реакционных интересов, интересов немецкого мещанства.
3.1.30.2	В Германии действительную общественную основу существующего порядка вещей составляет мелкая буржуазия, унаследованная от XVI века и с того времени постоянно вновь появляющаяся в той или иной форме.
3.1.31.1	Сохранение ее равносильно сохранению существующего в Германии порядка вещей.
3.1.31.2	От промышленного и политического господства буржуазии она со страхом ждет своей верной гибели, с одной стороны, вследствие концентрации капитала, с другой – вследствие роста революционного пролетариата.
3.1.31.3	Ей казалось, что «истинный» социализм одним выстрелом убивает двух зайцев.
3.1.31.4	И «истинный» социализм распространялся как зараза.
3.1.32.1	Вытканный из умозрительной паутины, расшитый причудливыми цветами красноречия, пропитанный слезами слащавого умиления, этот мистический покров, которым немецкие социалисты прикрывали пару своих тощих «вечных истин», только увеличивал сбыт их товара среди этой публики.
3.1.33.1	Со своей стороны, немецкий социализм все более понимал свое призвание быть высокопарным представителем этого мещанства.
3.1.34.1	Он провозгласил немецкую нацию образцовой нацией, а немецкого мещанина – образцом человека.
3.1.34.2	Каждой его низости он придавал сокровенный, возвышенный социалистический смысл, превращавший ее в нечто ей совершенно противоположное.
3.1.34.3	Последовательный до конца, он открыто выступал против «грубо-разрушительного» направления коммунизма и возвестил, что сам он в своем величественном беспристрастии стоит выше всякой классовой борьбы.
3.1.34.4	За весьма немногими исключениями все, что циркулирует в Германии в качестве якобы социалистических и коммунистических сочинений, принадлежит к этой грязной, расслабляющей литературе.
3.2.1.1	Известная часть буржуазии желает излечить общественные недуги для того, чтобы упрочить существование буржуазного общества.
3.2.2.1	Сюда относятся экономисты, филантропы, поборники гуманности, радетели о благе трудящихся классов, организаторы благотворительности, члены обществ покровительства животным, основатели обществ трезвости, мелкотравчатые реформаторы самых разнообразных видов.
3.2.2.2	Этот буржуазный социализм разрабатывался даже в целые системы.
3.2.3.1	В качестве примера приведем «Философию нищеты» Прудона.
3.2.4.1	Буржуа-социалисты хотят сохранить условия существования современного общества, но без борьбы и опасностей, которые неизбежно из них вытекают.
3.2.4.2	Они хотят сохранить современное общество, однако, без тех элементов, которые его революционизируют и разлагают.
3.2.4.3	Они хотели бы иметь буржуазию без пролетариата.
3.2.4.4	Тот мир, в котором господствует буржуазия, конечно, кажется ей самым лучшим из миров.
3.2.4.5	Буржуазный социализм разрабатывает это утешительное представление в более или менее цельную систему.
3.2.4.6	Приглашая пролетариат осуществить его систему и войти в новый Иерусалим, он в сущности требует только, чтобы пролетариат оставался в теперешнем обществе, но отбросил свое представление о нем, как о чем-то ненавистном.
3.2.5.1	Другая, менее систематическая, но более практическая форма этого социализма стремилась к тому, чтобы внушить рабочему классу отрицательное отношение ко всякому революционному движению, доказывая, что ему может быть полезно не то или другое политическое преобразование, а лишь изменение материальных условий жизни, экономических отношений.
3.2.5.2	Однако под изменением материальных условий жизни этот социализм понимает отнюдь не уничтожение буржуазных производственных отношений, осуществимое только революционным путем, а административные улучшения, осуществляемые на почве этих производственных отношений, следовательно, ничего не изменяющие в отношениях между капиталом и наемным трудом, в лучшем же случае – лишь сокращающие для буржуазии издержки ее господства и упрощающие ее государственное хозяйство.
3.2.6.1	Самое подходящее для себя выражение буржуазный социализм находит только тогда, когда превращается в простой ораторский оборот речи.
3.2.7.1	Свободная торговля! в интересах рабочего класса; покровительственные пошлины! в интересах рабочего класса; одиночные тюрьмы! в интересах рабочего класса – вот последнее, единственно сказанное всерьез, слово буржуазного социализма.
3.2.8.1	Социализм буржуазии заключается как раз в утверждении, что буржуа являются буржуа, – в интересах рабочего класса.
3.3.1.1	Мы не говорим здесь о той литературе, которая во всех великих революциях нового времени выражала требования пролетариата (сочинения Бабёфа и т. д.).
3.3.2.1	Первые попытки пролетариата непосредственно осуществить свои собственные классовые интересы во время всеобщего возбуждения, в период ниспровержения феодального общества, неизбежно терпели крушение вследствие неразвитости самого пролетариата, а также вследствие отсутствия материальных условий его освобождения, так как эти условия являются лишь продуктом буржуазной эпохи.
3.3.2.2	Революционная литература, сопровождавшая эти первые движения пролетариата, по своему содержанию неизбежно является реакционной.
3.3.2.3	Она проповедует всеобщий аскетизм и грубую уравнительность.
3.3.3.1	Собственно социалистические и коммунистические системы, системы Сен-Симона, Фурье, Оуэна и т. д., возникают в первый, неразвитый период борьбы между пролетариатом и буржуазией, изображенный нами выше (см. «Буржуазия и пролетариат»).
3.3.4.1	Изобретатели этих систем, правда, видят противоположность классов, так же как и действие разрушительных элементов внутри самого господствующего общества.
3.3.4.2	Но они не видят на стороне пролетариата никакой исторической самодеятельности, никакого свойственного ему политического движения.
3.3.5.1	Так как развитие классового антагонизма идет рука об руку с развитием промышленности, то они точно так же не могут еще найти материальных условий освобождения пролетариата и ищут такой социальной науки, таких социальных законов, которые создали бы эти условия.
3.3.6.1	Место общественной деятельности должна занять их личная изобретательская деятельность, место исторических условий освобождения – фантастические условия, место постепенно подвигающейся вперед организации пролетариата в класс – организация общества по придуманному ими рецепту.
3.3.6.2	Дальнейшая история всего мира сводится для них к пропаганде и практическому осуществлению их общественных планов.
3.3.7.1	Правда, они сознают, что в этих своих планах защищают главным образом интересы рабочего класса как наиболее страдающего класса.
3.3.7.2	Только в качестве этого наиболее страдающего класса и существует для них пролетариат.
3.3.8.1	Однако неразвитая форма классовой борьбы, а также их собственное положение в жизни приводят к тому, что они считают себя стоящими высоко над этим классовым антагонизмом.
3.3.8.2	Они хотят улучшить положение всех членов общества, даже находящихся в самых лучших условиях.
3.3.8.3	Поэтому они постоянно апеллируют ко всему обществу без различия и даже преимущественно – к господствующему классу.
3.3.8.4	По их мнению, достаточно только понять их систему, чтобы признать ее самым лучшим планом самого лучшего из возможных обществ.
3.3.9.1	Они отвергают поэтому всякое политическое, и в особенности всякое революционное, действие; они хотят достигнуть своей цели мирным путем и пытаются посредством мелких и, конечно, не удающихся опытов, силой примера проложить дорогу новому общественному евангелию.
3.3.10.1	Это фантастическое описание будущего общества возникает в то время, когда пролетариат еще находится в очень неразвитом состоянии и представляет себе поэтому свое собственное положение еще фантастически, оно возникает из первого исполненного предчувствий порыва пролетариата к всеобщему преобразованию общества.
3.3.11.1	Но в этих социалистических и коммунистических сочинениях содержатся также и критические элементы.
3.3.11.2	Эти сочинения нападают на все основы существующего общества.
3.3.11.3	Поэтому они дали в высшей степени ценный материал для просвещения рабочих.
3.3.11.4	Их положительные выводы насчет будущего общества, например, уничтожение противоположности между городом и деревней, уничтожение семьи, частной наживы, наемного труда, провозглашение общественной гармонии, превращение государства в простое управление производством, – все эти положения выражают лишь необходимость устранения классовой противоположности, которая только что начинала развиваться и была известна им лишь в ее первичной бесформенной неопределенности.
3.3.11.5	Поэтому и положения эти имеют еще совершенно утопический характер.
3.3.12.1	Значение критически-утопического социализма и коммунизма стоит в обратном отношении к историческому развитию.
3.3.12.2	По мере того как развивается и принимает все более определенные формы борьба классов, это фантастическое стремление возвыситься над ней, это преодоление ее фантастическим путем лишается всякого практического смысла и всякого теоретического оправдания.
3.3.12.3	Поэтому, если основатели этих систем и были во многих отношениях революционны, то их ученики всегда образуют реакционные секты.
3.3.12.4	Они крепко держатся старых воззрений своих учителей, невзирая на дальнейшее историческое развитие пролетариата.
3.3.12.5	Поэтому они последовательно стараются вновь притупить классовую борьбу и примирить противоположности.
3.3.12.6	Они все еще мечтают об осуществлении, путем опытов, своих общественных утопий, об учреждении отдельных фаланстеров, об основании внутренних колоний, об устройстве маленькой Икарии – карманного издания нового Иерусалима, – и для сооружения всех этих воздушных замков вынуждены обращаться к филантропии буржуазных сердец и кошельков.
3.3.12.7	Они постепенно опускаются в категорию описанных выше реакционных или консервативных социалистов, отличаясь от них лишь более систематическим педантизмом и фанатической верой в чудодейственную силу своей социальной науки.
3.3.13.1	Вот почему они с ожесточением выступают против всякого политического движения рабочих, вызываемого, по их мнению, лишь слепым неверием в новое евангелие.
3.3.14.1	Оуэнисты в Англии и фурьеристы во Франции выступают – первые против чартистов, вторые против реформистов.
4.1.1	После того, что было сказано в разделе II, понятно отношение коммунистов к сложившимся уже рабочим партиям, т. е. их отношение к чартистам в Англии и к сторонникам аграрной реформы в Северной Америке.
4.2.1	Коммунисты борются во имя ближайших целей и интересов рабочего класса, но в то же время в движении сегодняшнего дня они отстаивают и будущность движения.
4.2.2	Во Франции, в борьбе против консервативной и радикальной буржуазии, коммунисты примыкают к социалистическо-демократической партии, не отказываясь тем не менее от права относиться критически к фразам и иллюзиям, проистекающим из революционной традиции.
4.3.1	В Швейцарии они поддерживают радикалов, не упуская, однако, из виду, что эта партия состоит из противоречивых элементов, частью из демократических социалистов во французском стиле, частью из радикальных буржуа.
4.4.1	Среди поляков коммунисты поддерживают партию, которая ставит аграрную революцию условием национального освобождения, ту самую партию, которая вызвала краковское восстание 1846 года.
4.5.1	В Германии, поскольку буржуазия выступает революционно, коммунистическая партия борется вместе с ней против абсолютной монархии, феодальной земельной собственности и реакционного мещанства.
4.6.1	Но ни на минуту не перестает она вырабатывать у рабочих возможно более ясное сознание враждебной противоположности между буржуазией и пролетариатом, чтобы немецкие рабочие могли сейчас же использовать общественные и политические условия, которые должно принести с собой господство буржуазии, как оружие против нее же самой, чтобы, сейчас же после свержения реакционных классов в Германии, началась борьба против самой буржуазии.
4.7.1	На Германию коммунисты обращают главное свое внимание потому, что она находится накануне буржуазной революции, потому, что она совершит этот переворот при более прогрессивных условиях европейской цивилизации вообще, с гораздо более развитым пролетариатом, чем в Англии XVII и во Франции XVIII столетия.
4.7.2	Немецкая буржуазная революция, следовательно, может быть лишь непосредственным прологом пролетарской революции.
4.8.1	Одним словом, коммунисты повсюду поддерживают всякое революционное движение, направленное против существующего общественного и политического строя.
4.9.1	Во всех этих движениях они выдвигают на первое место вопрос о собственности, как основной вопрос движения, независимо от того, принял ли он более или менее развитую форму.
4.10.1	Наконец, коммунисты повсюду добиваются объединения и соглашения между демократическими партиями всех стран.
4.11.1	Коммунисты считают презренным делом скрывать свои взгляды и намерения.
4.11.2	Они открыто заявляют, что их цели могут быть достигнуты лишь путем насильственного ниспровержения всего существующего общественного строя.
4.11.3	Пусть господствующие классы содрогаются перед Коммунистической Революцией.
